Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
16283,Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006,Fighting,Ignition Entertainment,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12145,Fatal Fury: Battle Archives Volume 2,PS2,2007,Fighting,SNK Playmore,0.03,0.03,0,0.01,0.07,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
16187,Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,2007,Fighting,SNK Playmore,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
5710,Fishing Master,Wii,2007,Misc,Konami Digital Entertainment,0.29,0,0,0.02,0.31,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. Genre verified as Sports."
12322,Fishing Master (jp sales),Wii,2007,Sports,Konami Digital Entertainment,0,0,0.06,0,0.06,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. Genre verified as Sports."
2320,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.84,0,0,0.06,0.9,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
5882,Fossil Fighters (JP sales),DS,2008,Role-Playing,Nintendo,0,0,0.3,0,0.3,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9788,Go! Sudoku,PSP,2005,Puzzle,Sony Computer Entertainment,0.11,0,0,0.01,0.12,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
10207,Go! Sudoku (JP sales),PSP,2005,Puzzle,Sony Computer Entertainment,0,0,0.11,0,0.11,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7268,Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,0.11,0.08,0,0.03,0.22,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
12953,Growlanser: Heritage of War (jp sales),PS2,2006,Role-Playing,Rising Star Games,0,0,0.05,0,0.05,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9479,Harvest Moon DS (jp sales),DS,2005,Simulation,Rising Star Games,0,0,0.13,0,0.13,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
4121,Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.41,0.07,0,0,0.48,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10666,Harvest Moon DS Cute (jp sales),DS,2005,Simulation,Marvelous Interactive,0,0,0.1,0,0.1,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
5935,Harvest Moon DS Cute (US sales),DS,2005,Simulation,Marvelous Interactive,0.3,0,0,0,0.3,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
16547,Imagine Figure Skater (JP sales),DS,2007,Sports,Ubisoft,0,0,0.01,0,0.01,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
4225,Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,0.46,0.01,0,0,0.47,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
16324,Jam Sessions: Sing and Play Guitar (jp sales),DS,2007,Misc,Ubisoft,0,0,0.01,0,0.01,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
4976,Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,0.38,0,0,0,0.38,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7049,Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,0.21,0,0,0.02,0.23,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. Publisher verified as Rising Star Games, release year verified as 2008"
10760,Luminous Arc 2 (JP sales),DS,N/A,Role-Playing,Unknown,0,0,0.1,0,0.1,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. Publisher verified as Rising Star Games, release year verified as 2008"
13395,Lux-Pain,DS,2008,Adventure,Rising Star Games,0.04,0,0,0,0.05,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14492,Lux-Pain (JP sales),DS,2008,Adventure,Rising Star Games,0,0,0.03,0,0.03,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
13949,Magical Starsign (JP sales),DS,2006,Role-Playing,Nintendo,0,0,0.04,0,0.04,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
7979,Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,0.16,0.03,0,0,0.19,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12697,Mana Khemia: Alchemists of Al-Revis,PS2,2007,Role-Playing,Nippon Ichi Software,0.03,0.02,0,0.01,0.06,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
